Tecnicas;Design Role;Classe;Método;LOC;CC;Efferent;NOP;Problema de Design;Deveria ser REFATORADO por conta desse problema?; Se DISCORDAR, quais os motivos? 
 V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.especial.GerarDAEEspecial;initialize;50;8;5;0;Muitos Desvios;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.isencaoTributos.to.TransacaoIsencaoTributosBase;cadastrarPessoaFisicaJuridica;30;6;6;2;Muitos Desvios;(1) Discordo Fortemente;;
 A, V, X ;TRANSACAO;br.gov.se.sefaz.sae.conciliacaoBancaria.to.consultaArquivo.ConsultarArquivos;process;68;11;12;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;BACKGROUNDPROCESS;br.gov.se.sefaz.sae.tb.chequeDevolvido.BaixaCheqDevPrescrito;run;76;9;11;0;Muitos Desvios;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.conciliacaoBancaria.to.consultaArquivo.ConsultarArquivosEnviadosPeloSAE;process;50;11;12;0;Muitos Desvios;(1) Discordo Fortemente;;
 A, R, D, V, X ;TRANSACAOOPERACIONAL;br.gov.se.sefaz.sae.consultas.to.ConsultarDetalheDAE;getOcorrenciasNavegacao;87;39;11;2;Muitos Desvios;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.isencaoTributos.to.baixa.BaixaIsencao;process;19;10;7;0;Metodo Longo;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorIsencaoTributos;verificarIsencaoVigenteIPVA;12;5;7;2;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorIsencaoTributos;obterNrSolicitantePorRenavamPessoaIPVA;14;4;7;3;Muitos Parametros;(1) Discordo Fortemente;;
 V ;PERSISTENCE;br.gov.se.sefaz.sae.dao.IPVA.DAOIPVASQLBean;getEntidadeFonteCollection;16;4;6;1;Muitos Desvios;(1) Discordo Fortemente;;
 A, V, X ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.daeAvulso.GerarItemICMSContribuinteNaoInscrito;process;61;22;11;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;BACKGROUNDPROCESS;br.gov.se.sefaz.sae.tb.conciliacaoBancaria.ProcessarArqMovOnLineGNRE;processarArquivo;33;7;8;0;Muitos Desvios;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.oper.to.desmembramento.das.IncluirItemDocDesmembram;initialize;30;2;10;0;Metodo Longo;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorDocArrecadacao;verificarExistenciaDAR;16;5;7;1;Muitos Desvios;(1) Discordo Fortemente;;
 A, R, D, V, X ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.especial.contribuinteInscrito.AlterarItem;process;125;52;14;0;Muitos Desvios;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.oper.to.desmembramento.dae.ConfirmarDesmembrarDAE;registrarDesmembramentoDAE;19;4;7;3;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.custodiais.to.receita.IncluirReceita;process;46;5;13;0;Muitos Desvios;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.antecipacaoMensal.substituicao.ExluirItemAntecipacaoMensal;initialize;21;3;6;0;Metodo Longo;(1) Discordo Fortemente;;
 V ;REGISTROMOVCONSOLIDADO;br.gov.se.sefaz.sae.concBanc.ng.registro.RegistroZ;RegistroZ;4;1;2;2;Muitos Parametros;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.custodiais.to.grupoRecolhimento.AlterarGrupoRecolhimento;process;30;3;9;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 A, V, X ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.sit.EmitirDAEMensal;process;60;16;12;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorTalonario;gerarSequenciaTalao;26;5;11;2;Muitos Parametros;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.custodiais.to.contaRepasse.ListarContaRepasse;process;36;10;9;0;Metodo Longo;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.custodiais.to.receita.ExcluirReceita;montarComboReceitaPai;26;5;8;1;Muitos Desvios;(1) Discordo Fortemente;;
 A, R, V ;TRANSACAO;br.gov.se.sefaz.sae.oper.to.alteracao.dae.AlterarDAE;process;96;28;23;0;Metodo Longo;(1) Discordo Fortemente;;
 A, R, V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.TransacaoEmissaoDAE;atribuirDetalheReceitaOutroOrgaoToSource;87;64;10;3;Metodo Longo;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.custodiais.to.icmsContribInsc.ExcluirIcmsContribInsc;process;28;2;10;0;Metodo Longo;(1) Discordo Fortemente;;
 A, R, D, V, X ;TRANSACAO;br.gov.se.sefaz.sae.oper.to.desmembramento.itemDae.InserirItemDesmembramentoDAE;process;28;23;7;0;Muitos Desvios;(1) Discordo Fortemente;;
 A, V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorIntegracao;gerarDAEMensal;75;14;14;4;Muitos Desvios;(1) Discordo Fortemente;;
 A, R, D, V, X ;TRANSACAO;br.gov.se.sefaz.sae.consultas.to.vencimento.ConsultarVencimentoICMS;process;70;23;9;0;Muitos Desvios;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.daeAvulso.GerarItemReceitaNaoTributaria;initialize;64;11;6;0;Metodo Longo;(1) Discordo Fortemente;;
 A, R, D, V, X ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorIntegracao;gerarDAEITCMD;90;29;20;8;Muitos Desvios;(1) Discordo Fortemente;;
 D, V ;BACKGROUNDPROCESS;br.gov.se.sefaz.sae.tb.correcao.CorrigirDadosGNRE;corrigirGNRELayout20;6;1;4;2;Muitos Parametros;(1) Discordo Fortemente;;
 V ;GNRE;br.gov.se.sefaz.sae.concBanc.ng.GerenciadorGNRE;obterAnexo05GNRE;14;2;7;2;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;CONSULTAAVANCADATRANSBASE;br.gov.se.sefaz.sae.consultas.to.concBanc.ConsultaConcBanc;montaDoctoSaida;77;13;11;5;Muitos Desvios;(1) Discordo Fortemente;;
 D, V ;TRANSACAO;br.gov.se.sefaz.sae.consultas.to.contribuinte.Contribuinte;setDadosPF;19;6;5;3;Muitos Parametros;(1) Discordo Fortemente;;
 A, D, V, X ;TRANSACAO;br.gov.se.sefaz.sae.isencaoTributos.to.IPVA.AtenderSolicitacaoEmAnaliseFinal;setPlacaChassi;15;7;6;4;Muitos Parametros;(1) Discordo Fortemente;;
 D, V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.TransacaoEmissaoDAE;exibirCamposFormaRecolhimentoAcaoFiscalEspecial;58;12;8;2;Muitos Parametros;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.concBanc.ng.GerenciadorRepasse;obterRepasseCedidoTesouro;18;3;6;3;Muitos Parametros;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.especial.contribuinteNaoInscrito.GerarItemReceitaOutrosOrgaos;process;76;33;11;0;Metodo Longo;(1) Discordo Fortemente;;
 D, V ;TRANSACAO;br.gov.se.sefaz.sae.custodiais.to.TransacaoCustodiais;montarComboAtividadeMacro;5;1;3;2;Muitos Parametros;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.daeAvulso.GerarItemTaxa;initialize;82;16;10;0;Muitos Desvios;(1) Discordo Fortemente;;
 V ;TEST;br.gov.se.sefaz.sae.ng.GerenciadorBase;obterDataVencimentoFundoDaPobreza;27;8;7;1;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.custodiais.to.unidadeTalao.AlterarUnidadeTalao;process;22;2;9;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 A, R, D, V, X ;TEST;br.gov.se.sefaz.sae.ng.GerenciadorBase;registrarHistoricoGNRE;3;1;2;9;Muitos Parametros;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorIPVA;inserirTransacaoVeiculoIPVA;19;3;9;2;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.conciliacaoBancaria.to.repasse.ListarRepasseDia;setItensDocumento;29;3;9;2;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;CONSULTAAVANCADATRANSBASE;br.gov.se.sefaz.sae.consultas.to.cheqDev.ConsultarCheqDev;montaCriterioExibicao;17;5;6;2;Muitos Parametros;(1) Discordo Fortemente;;
 A, R, D, V, X ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.TransacaoEmissaoDAE;atribuirValoresToDocumento;109;34;5;2;Muitos Desvios;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorDocArrecadacao;registrarHistoricoDAESQL;30;8;12;10;Muitos Desvios;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorCheqDev;registrarMotivoDevolucaoCheque;6;1;4;3;Muitos Parametros;(1) Discordo Fortemente;;
 A, R, D, V ;TRANSACAOOPERACIONAL;br.gov.se.sefaz.sae.consultas.to.ConsultarDetalheDAE;getOcorrenciasNavegacao;87;39;11;2;Metodo Longo;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorDocArrecadacao;calcularValoresEncargos;52;9;7;2;Muitos Parametros;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.oper.to.alteracao.docOrigem.AlterarDocOrigem;formataMesAnoReferencia;22;4;4;1;Muitos Desvios;(1) Discordo Fortemente;;
 A, V, X ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.especial.contribuinteNaoInscrito.EmitirDaeEspecialContribuinte;process;77;23;14;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 D, V ;TRANSACAO;br.gov.se.sefaz.sae.consultas.to.documento.ItemDetalheDAE;setCAEIncons;13;2;6;2;Muitos Parametros;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorOperacional;exibirCamposDesmembramentoGNRE;126;77;14;2;Muitos Parametros;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.consultas.to.contribuinte.ConsultaArrecadacaoARecolher;setItensDocumento;58;11;13;4;Muitos Desvios;(1) Discordo Fortemente;;
 V ;CONSULTAAVANCADATRANSBASE;br.gov.se.sefaz.sae.consultas.to.concBanc.ConsultaConcBanc;gravarArquivoExcel;57;8;14;3;Muitos Desvios;(1) Discordo Fortemente;;
 V ;GNRE;br.gov.se.sefaz.sae.concBanc.ng.GerenciadorGNRE;obterAnexo06GNRE;15;6;4;2;Muitos Parametros;(1) Discordo Fortemente;;
 V ;PERSISTENCE;br.gov.se.sefaz.sae.dao.custodiais.DAOSAESQLBean;getEntidadeHistDataFechamentoMensal;21;2;7;1;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 A, V, X ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.especial.GerarItemReceitaNaoTributariaConfirmar;process;43;9;11;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 A, V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.TransacaoEmissaoDAE;atribuirPropiedadesItemDaePSDIEspecial;86;9;8;2;Metodo Longo;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.especial.GerarItemImportacao;process;35;10;11;0;Muitos Desvios;(1) Discordo Fortemente;;
 A, V, X ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.antecipacaoMensal.substituicao.SubstituirAntecipacaoMensal;process;49;8;11;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 A, R, D, V, X ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.especial.itcmd.ConsultarContribuinteITCMD;initialize;108;45;11;0;Muitos Desvios;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.TransacaoEmissaoDAE;atribuirItemMultaFiscal;20;7;8;3;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 D, V ;TRANSACAORELATORIO;br.gov.se.sefaz.sae.isencaoTributos.to.emitir.EmitirTermoResponsabilidade;setCarro;20;2;1;2;Muitos Parametros;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorCheqDev;registrarBaixaChequeDevolvido;19;5;5;6;Metodo Longo;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.concBanc.ng.GerenciadorConcBancBase;identificarTipoArquivo;19;3;8;2;Metodo Longo;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.custodiais.to.tipoDesconto.AlterarTipoDesconto;process;23;3;9;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 A, V ;TRANSACAO;br.gov.se.sefaz.sae.consultas.to.receita.ConsultarConversaoReceitaSAE;process;71;17;15;0;Muitos Desvios;(1) Discordo Fortemente;;
 V ;PERSISTENCE;br.gov.se.sefaz.sae.dao.custodiais.DAOSAESQLBean;recProrrogacaoDae;13;4;5;1;Muitos Desvios;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorDocArrecadacao;validarSituacaoDARCancelamento;7;5;2;1;Muitos Desvios;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.TransacaoEmissaoDAE;atribuirPropiedadesItemDaePSDI;94;13;10;2;Muitos Desvios;(1) Discordo Fortemente;;
 D, V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.reemissao.GerarReemissaoDAESIT;montarItens;35;7;5;3;Muitos Parametros;(1) Discordo Fortemente;;
 V ;TEST;br.gov.se.sefaz.sae.ng.GerenciadorBase;validarPessoaGenerica;28;11;5;1;Metodo Longo;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.conciliacaoBancaria.to.repasse.GerarArqRepasse;process;41;19;9;0;Metodo Longo;(1) Discordo Fortemente;;
 A, R, D, V, X ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.TransacaoEmissaoDAE;atribuirItemDAEInscrito;100;54;10;3;Muitos Desvios;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.especial.contribuinteInscrito.EmitirDAEContribuinteInscrito;initialize;50;8;5;0;Muitos Desvios;(1) Discordo Fortemente;;
 A, V, X ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.especial.AlterarItem;process;125;52;14;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorIntegracao;montarComboCnaefContribuinteInscrito;22;4;9;2;Muitos Parametros;(1) Discordo Fortemente;;
 A, R, D, V, X ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorDocArrecadacao;registrarAlteracaoDataOnLine;9;1;10;5;Muitos Parametros;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.conciliacaoBancaria.to.repasse.ConsultarDAEsNaoRepassados;process;23;6;8;0;Muitos Desvios;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorDocArrecadacao;calcularITD;44;9;11;5;Metodo Longo;(1) Discordo Fortemente;;
 A, V, X ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorIsencaoTributos;montarDocTipoSolicitanteICMSIPVA;37;10;13;3;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 D, V ;TRANSACAO;br.gov.se.sefaz.sae.consultas.to.documento.ItemDetalheDAE;setDocDadosOutrasRec;93;21;16;3;Muitos Parametros;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorTalonario;registrarDistribuicaoTalao;19;4;10;12;Muitos Desvios;(1) Discordo Fortemente;;
 A, R, V, X ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.TransacaoEmissaoDAE;atribuirPropiedadesItemDaeICMS;102;16;6;2;Metodo Longo;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.oper.to.desmembramento.dae.DesmembrarDAE;getOcorrenciasNavegacao;26;4;10;3;Muitos Desvios;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.conciliacaoBancaria.to.repasse.ConfirmarRepasseFinanceiro;initialize;21;2;8;0;Metodo Longo;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.custodiais.to.conversaoReceita.ConsultarConversaoReceita;initialize;22;2;7;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.isencaoTributos.to.ICMS.AtenderSolicitacaoAutorizadaFinal;doProcess;25;5;10;0;Muitos Desvios;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.custodiais.to.grupoProduto.ExcluirGrupoProduto;process;18;2;7;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 A, R, D, V, X ;[CONSTANTES];br.gov.se.sefaz.sae.ng.GerenciadorCustodiais;registrarHistoricoCustodialPRP;14;3;7;5;Muitos Parametros;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.talonario.to.emitirTermoTransporteTalao.ListarUnidadeComTalaoDistribuido;getOcorrenciasNavegacao;20;4;8;3;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 A, R, D, V, X ;TRANSACAO;br.gov.se.sefaz.sae.conciliacaoBancaria.to.repasse.ConsultarRepasseDASGNRE;exibirRepasseDASGNRE;134;27;12;1;Metodo Longo;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.daeAvulso.GerarItemPSDI;initialize;100;14;7;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorOperacional;obterValorTotalReceitaAtualizado;20;8;8;4;Metodo Longo;(1) Discordo Fortemente;;
 A, R, D, V, X ;GERENCIADORBASE;br.gov.se.sefaz.sae.concBanc.ng.GerenciadorConcBancBase;registrarMovParcial;28;4;11;8;Muitos Parametros;(1) Discordo Fortemente;;
 D, V ;TRANSACAO;br.gov.se.sefaz.sae.consultas.to.documento.ListarHistoricoDAE;setItensDocumento;22;5;6;2;Muitos Parametros;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.custodiais.to.solicitanteSolic.ExcluirSolicitanteSolic;process;12;2;7;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.TransacaoEmissaoDAE;atribuirDetalheReceitaOutroOrgaoToSource;87;64;10;3;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.conciliacaoBancaria.to.repasse.GerarArqDASRepasseBB;obterRepasseDAS;16;4;9;1;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 D, V ;TRANSACAO;br.gov.se.sefaz.sae.conciliacaoBancaria.to.fechamento.ListarDataFechamentoAberto;setItensDocumento;15;2;7;2;Muitos Parametros;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorIntegracao;montarComboCnaefContribuinteInscrito;22;4;9;2;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 A, R, D, V, X ;BACKGROUNDPROCESS;br.gov.se.sefaz.sae.tb.arquivo.ReceberArquivo;run;114;24;11;0;Muitos Desvios;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.custodiais.to.prorrogacaoDae.ConsultarProrrogacaoDae;process;14;1;8;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;BACKGROUNDPROCESS;br.gov.se.sefaz.sae.tb.conciliacaoBancaria.ProcessarArqMovConsolidadoIPVA;processarArquivo;61;11;10;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 A, R, D, V, X ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorDocArrecadacao;alterarSituacaoDAE;14;2;7;5;Muitos Parametros;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.isencaoTributos.to.IPVA.EfetuarSolicitacaoIPVAFinalBase;doProcess;25;2;5;1;Metodo Longo;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.oper.to.alteracao.viaEletronica.AlterarItensDAEManualViaEletronica;initialize;39;10;7;0;Metodo Longo;(1) Discordo Fortemente;;
 A, R, D, V, X ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.daeAvulso.GerarItemMultaFiscal;process;68;25;7;0;Muitos Desvios;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.custodiais.to.histDataFechamentoMensal.ListarHistDataFechamentoMensal;process;31;6;9;0;Metodo Longo;(1) Discordo Fortemente;;
 A, D, V, X ;TRANSACAO;br.gov.se.sefaz.sae.consultas.to.documento.ListarPendenciasDoc;getOcorrenciasNavegacao;20;3;9;4;Muitos Parametros;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorIsencaoTributos;montarDocTipoSolicitanteICMSIPVA;37;10;13;3;Muitos Parametros;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.daeAvulso.contribuinteNaoInscrito.EmitirDAEContribuinteNaoInscrito;validarSituacaoContrib;19;7;3;2;Muitos Desvios;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorDocArrecadacao;dispensarMultasJuros;18;10;7;1;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 D, V ;TRANSACAO;br.gov.se.sefaz.sae.conciliacaoBancaria.to.consulta.ConsultarDocParcialSemConsolidado;getOcorrenciasNavegacao;21;3;8;3;Muitos Parametros;(1) Discordo Fortemente;;
 V ;TEST;br.gov.se.sefaz.sae.ng.GerenciadorBase;setEntidadeDetalheDAE;29;1;3;2;Metodo Longo;(1) Discordo Fortemente;;
 A, V, X ;BACKGROUNDPROCESS;br.gov.se.sefaz.sae.tb.conciliacaoBancaria.ProcessarArqMovConsolidadoGNREOnLine;regularizarDocDuplicado;30;4;12;1;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 D, V ;TRANSACAO;br.gov.se.sefaz.sae.conciliacaoBancaria.to.consulta.ConsultarArrecadacaoDia;getOcorrenciasNavegacao;24;3;8;2;Muitos Parametros;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorDocArrecadacao;obterDetalheICMS;26;3;8;2;Metodo Longo;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.custodiais.to.percentRepasseReceita.ExcluirPercentRepasseReceita;process;28;2;9;0;Metodo Longo;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorIsencaoTributos;registrarIsencaoVeiculo;37;6;10;6;Metodo Longo;(1) Discordo Fortemente;;
 D, V ;BACKGROUNDPROCESS;br.gov.se.sefaz.sae.tb.conciliacaoBancaria.ProcessarArqMovConsolidadoDAE;validarSituacaoDocumento;37;15;14;3;Muitos Parametros;(1) Discordo Fortemente;;
 D, V ;TRANSACAO;br.gov.se.sefaz.sae.custodiais.to.conversaoReceita.ConversaoReceitaBase;getListaConversaoReceitaPorCriterio;8;1;6;3;Muitos Parametros;(1) Discordo Fortemente;;
 V ;PERSISTENCE;br.gov.se.sefaz.sae.dao.custodiais.DAOSAESQLBean;recMotivoAlteracaoDoc;13;4;5;1;Muitos Desvios;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.oper.to.alteracao.dadosConcBanc.ConsultarDadosConciliacaoBancaria;process;55;13;8;0;Muitos Desvios;(1) Discordo Fortemente;;
 D, V ;TRANSACAO;br.gov.se.sefaz.sae.consultas.to.cheqDev.ListarDocumentoCheque;setItensDocumento;35;6;9;2;Muitos Parametros;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.antecipacaoMensal.substituicao.ListarItensAntecipacaoMensal;initialize;30;3;10;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.TransacaoEmissaoDAE;atribuirSourceToResultReceitaExtraOrcamentaria;25;4;9;2;Muitos Desvios;(1) Discordo Fortemente;;
 A, V ;TRANSACAO;br.gov.se.sefaz.sae.isencaoTributos.to.IPVA.EfetuarRenovacaoIsencaoIPVAInicio;process;40;17;7;0;Muitos Desvios;(1) Discordo Fortemente;;
 A, V, X ;TRANSACAO;br.gov.se.sefaz.sae.custodiais.to.entidade.AlterarEntidade;process;35;9;11;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 A, R, V, X ;BACKGROUNDPROCESS;br.gov.se.sefaz.sae.tb.conciliacaoBancaria.ProcessarArqMovOnLineGNRE;registrarRecolhimentoDocumento;189;55;24;0;Metodo Longo;(1) Discordo Fortemente;;
 V ;REGISTROMOVCONSOLIDADO;br.gov.se.sefaz.sae.concBanc.ng.registro.Registro9;validar;37;10;6;3;Muitos Desvios;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.conciliacaoBancaria.to.consulta.ConsultarDocParcialSemConsolidado;getOcorrenciasNavegacao;21;3;8;3;Metodo Longo;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorOperacional;validarDadosDAR;44;12;10;1;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;CONSULTAAVANCADATRANSBASE;br.gov.se.sefaz.sae.consultas.to.documento.ConsultaAvancadaFiscalizacao;verificarIntervaloData;28;13;3;6;Metodo Longo;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.cheqDev.to.baixa.BaixarChequeDev;setCamposDocumento;47;10;8;1;Muitos Desvios;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.consultas.to.receita.ConsultarRegraRepasseReceita;process;26;6;9;0;Muitos Desvios;(1) Discordo Fortemente;;
