Tecnicas;Design Role;Classe;Método;LOC;CC;Efferent;NOP;Problema de Design;Deveria ser REFATORADO por conta desse problema?; Se DISCORDAR, quais os motivos? 
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorDocArrecadacao;ocultarCamposDesmembramentoDAE;25;1;1;1;Metodo Longo;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorOperacional;obterValorTotalReceitaAtualizado;20;8;8;4;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorDocArrecadacao;registrarHistoricoDAESQL;30;8;12;10;Metodo Longo;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.custodiais.to.combSituacaoChequeDev.AlterarCombSituacaoChequeDev;process;37;6;10;0;Metodo Longo;(1) Discordo Fortemente;;
 V ;REGISTROMOVCONSOLIDADO;br.gov.se.sefaz.sae.concBanc.ng.registro.RegistroZ;validar;21;7;6;3;Muitos Parametros;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.reemissao.GerarReemissaoDAESIT;montarItens;35;7;5;3;Muitos Desvios;(1) Discordo Fortemente;;
 D, V ;TRANSACAO;br.gov.se.sefaz.sae.oper.to.desmembramento.das.IncluirItemDocDesmembram;setCamposDocumentoDicDetalheICMS;15;1;5;2;Muitos Parametros;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorDocArrecadacao;getConversaoReceita;22;2;7;2;Muitos Parametros;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.oper.to.desmembramento.das.ConfirmarDesmembramentoDAS;process;71;10;11;0;Muitos Desvios;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.cheqDev.to.baixa.BaixarCheqPago;validarNumeroDocumento;49;13;7;1;Metodo Longo;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.conciliacaoBancaria.to.consulta.ConsultarArrecadacaoMultaFiscal;process;16;5;6;0;Muitos Desvios;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.oper.to.alteracao.itemDAE.ListarItemsDAE;getCampoOrdenacao;5;5;1;1;Muitos Desvios;(1) Discordo Fortemente;;
 A, R, D, V, X ;GERENCIADORBASE;br.gov.se.sefaz.sae.concBanc.ng.GerenciadorRepasse;gravarValorRepasse;50;8;13;6;Muitos Parametros;(1) Discordo Fortemente;;
 D, V ;TRANSACAO;br.gov.se.sefaz.sae.consultas.to.repasse.ConsultaRepasseFUNPREV;getOcorrenciasNavegacaoTabela2;19;2;8;2;Muitos Parametros;(1) Discordo Fortemente;;
 V ;BACKGROUNDPROCESS;br.gov.se.sefaz.sae.tb.correcao.CorrigirDadosGNRE;gravarHistoricoGNRE;27;6;11;8;Metodo Longo;(1) Discordo Fortemente;;
 A, R, D, V, X ;TRANSACAO;br.gov.se.sefaz.sae.oper.to.desmembramento.itemDae.ListarItensDesmembramentoDAE;registrarDesemembramentoItemDAE;222;80;15;4;Muitos Desvios;(1) Discordo Fortemente;;
 V ;CONSULTAAVANCADATRANSBASE;br.gov.se.sefaz.sae.consultas.to.documento.ConsultaAvancadaFiscalizacao;gravarArquivoExcel;56;8;14;3;Muitos Parametros;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.conciliacaoBancaria.to.consulta.ConsultarArrecadacaoDia;getOcorrenciasNavegacao;24;3;8;2;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.concBanc.ng.GerenciadorConcBancBase;registrarMovParcial;28;4;11;8;Metodo Longo;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorOperacional;consultarCamposConciliacaoBancaria;38;12;9;2;Metodo Longo;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.cheqDev.to.alteracao.ConfirmarAlteracaoCheque;initialize;61;9;5;0;Metodo Longo;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.oper.to.alteracao.dataRepasse.ConsultarDadosAlteracaoDataRepasse;process;29;11;8;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorOperacional;obterDAR;27;2;7;1;Metodo Longo;(1) Discordo Fortemente;;
 A, R, D, V, X ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.reemissao.ReemissaoDAESIT;process;91;25;14;0;Muitos Desvios;(1) Discordo Fortemente;;
 D, V ;TRANSACAO;br.gov.se.sefaz.sae.conciliacaoBancaria.to.fechamento.ListarDataFechamentoMensal;navegacaoMantab;14;2;5;3;Muitos Parametros;(1) Discordo Fortemente;;
 D, V ;TRANSACAO;br.gov.se.sefaz.sae.consultas.to.contribuinte.Contribuinte;setDadosPJNC;16;2;5;3;Muitos Parametros;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorDocArrecadacao;alterarDataValidadeDAE;6;1;4;2;Muitos Parametros;(1) Discordo Fortemente;;
 A, V, X ;BACKGROUNDPROCESS;br.gov.se.sefaz.sae.tb.conciliacaoBancaria.ProcessarArqMovOnLineDAE;validarSituacaoDocumento;33;19;14;3;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.oper.to.TransacaoOperacional;montarCampoLookUp;25;5;9;6;Muitos Desvios;(1) Discordo Fortemente;;
 V ;CONSULTAAVANCADATRANSBASE;br.gov.se.sefaz.sae.consultas.to.cheqDev.ConsultarCheqDev;exibeCamposSaida;10;3;3;2;Muitos Parametros;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.daeAvulso.EmitirDAEContribuinteNaoInscrito;process;42;6;13;0;Muitos Desvios;(1) Discordo Fortemente;;
