Classe                              ;DesignRole                        ;Concorda?;
br.gov.se.sefaz.sae.custodiais.to.grupoRecolhimento.ConsultarGrupoRecolhimento;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.icmsContribInsc.ExcluirIcmsContribInsc;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.metasArrecadacao.AlterarMetasArrecadacao;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.receita.ConsultarReceita;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.unidadeTalao.AlterarUnidadeTalao;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.icmsContribInsc.IncluirIcmsContribInsc;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.contaRepasse.AlterarContaRepasse;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.tipoSolicitante.ExcluirTipoSolicitante;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.motivoAlteracaoDoc.ExcluirMotivoAlteracaoDoc;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.regimeTributacaoIcms.ExcluirRegimeTributacaoICMS;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.metasArrecadacao.ListarMetasArrecadacao;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.motivoDAEManual.AlterarMotivoDAEManual;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.grupoProduto.ExcluirGrupoProduto;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.conversaoReceita.ConversaoReceitaBase;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.convenio.AlterarConvenio;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.cotacaoIPVA.ListarCotacao;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.situacaoDAEManual.AlterarSituacaoDAEManual;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.grupoProduto.AlterarGrupoProduto;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.grupoMotivoReceita.ConsultarGrupoMotivoReceita;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.entidade.IncluirEntidade;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.icmsContribNaoInsc.IncluirICMSContribNaoInsc;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.grupoRecolhimento.IncluirGrupoRecolhimento;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.tipoDocumento.ExcluirTipoDocumento;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.documentosSolicitacao.AlterarDocumentosSolicitacao;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.grupoMotivoReceita.IncluirGrupoMotivoReceita;TRANSACAO;SIM;
